,index,species,species__ontology_label,library_preparation_protocol,library_preparation_protocol__ontology_label,cellID,organ,organ__ontology_label,vaccination,vaccination__ontology_label,sex,is_living,sample_type,biosample_id,end_bias,cell_type,cell_type__ontology_label,disease,disease__ontology_label,donor_id,Stimulated,VaccineRoute,VaccineRouteUnique,VaccineRouteUniqueGroup,sequencing_instrument_manufacturer_model,sequencing_instrument_manufacturer_model__ontology_label,paired_ends,read_length,vaccination_route,vaccination__time_since,vaccination__time_since__unit,vaccination__time_since__unit_label,vaccination__dosage,X_13,Y_13,X_25,Y_25,sampleid
10,Week13_DF16_1773,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1773,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-10.8553597,-2.057382187,,,DDF16_WK13_STIMNO
11,Week13_DF16_840,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_840,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-10.58935425,-1.773232992,,,DDF16_WK13_STIMNO
12,Week13_DF16_792,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_792,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-10.74383417,-1.852216425,,,DDF16_WK13_STIMNO
13,Week13_DF16_2554,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_2554,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-10.74082551,-1.848356209,,,DDF16_WK13_STIMNO
14,Week13_DF16_1169,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1169,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-10.8021343,-1.89003767,,,DDF16_WK13_STIMNO
15,Week13_DF16_1000,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1000,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-10.63052507,-1.885963536,,,DDF16_WK13_STIMNO
16,Week13_DF16_1568,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1568,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-10.59897064,-2.29886053,,,DDF16_WK13_STIMNO
17,Week13_DF16_1077,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1077,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-1.903037615,2.712463796,,,DDF16_WK13_STIMNO
18,Week13_DF16_1863,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1863,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-10.58361055,-2.138592435,,,DDF16_WK13_STIMNO
19,Week13_DF16_3749,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_3749,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000084,T cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,0.363506214,6.42528559,,,DDF16_WK13_STIMNO
20,Week13_DF16_897,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_897,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000084,T cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,1.119746045,10.21123173,,,DDF16_WK13_STIMNO
21,Week13_DF16_1698,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1698,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000084,T cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,0.419628867,10.59507077,,,DDF16_WK13_STIMNO
22,Week13_DF16_1324,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1324,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000771,eosinophil,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,7.094004716,9.124916302,,,DDF16_WK13_STIMNO
23,Week13_DF16_3574,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_3574,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-1.395661208,2.266417379,,,DDF16_WK13_STIMNO
24,Week13_DF16_549,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_549,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-6.654490849,1.759988375,,,DDF16_WK13_STIMNO
25,Week13_DF16_4812,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_4812,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-0.699144637,2.644174601,,,DDF16_WK13_STIMNO
26,Week13_DF16_4526,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_4526,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-0.311573559,2.143607685,,,DDF16_WK13_STIMNO
27,Week13_DF16_3128,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_3128,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-1.408858187,2.606833631,,,DDF16_WK13_STIMNO
28,Week13_DF16_2205,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_2205,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,2.430045142,5.904220594,,,DDF16_WK13_STIMNO
29,Week13_DF16_2142,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_2142,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-4.056412949,1.911262402,,,DDF16_WK13_STIMNO
30,Week13_DF16_2116,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_2116,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-2.849186668,2.164159309,,,DDF16_WK13_STIMNO
31,Week13_DF16_564,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_564,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-6.562484678,1.487756593,,,DDF16_WK13_STIMNO
32,Week13_DF16_5120,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_5120,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-0.810466656,2.469965769,,,DDF16_WK13_STIMNO
33,Week13_DF16_4855,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_4855,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,0.233766878,2.136942818,,,DDF16_WK13_STIMNO
34,Week13_DF16_1402,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1402,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-3.669830335,1.847330655,,,DDF16_WK13_STIMNO
35,Week13_DF16_60,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_60,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-6.523404677,1.961805584,,,DDF16_WK13_STIMNO
36,Week13_DF16_1939,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1939,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-3.388346935,2.123021692,,,DDF16_WK13_STIMNO
37,Week13_DF16_2253,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_2253,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-3.231017729,1.924935045,,,DDF16_WK13_STIMNO
38,Week13_DF16_3059,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_3059,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-2.604798145,1.551963013,,,DDF16_WK13_STIMNO
39,Week13_DF16_4834,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_4834,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-0.726188014,2.417990862,,,DDF16_WK13_STIMNO
40,Week13_DF16_1419,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1419,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-5.387346742,2.110211364,,,DDF16_WK13_STIMNO
41,Week13_DF16_2452,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_2452,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-3.11198032,1.868280746,,,DDF16_WK13_STIMNO
42,Week13_DF16_281,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_281,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-6.282034216,1.405714162,,,DDF16_WK13_STIMNO
43,Week13_DF16_543,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_543,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-4.692624562,2.082023248,,,DDF16_WK13_STIMNO
44,Week13_DF16_4362,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_4362,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-0.197728697,2.359955997,,,DDF16_WK13_STIMNO
45,Week13_DF16_2634,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_2634,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-3.197719512,1.5819219,,,DDF16_WK13_STIMNO
46,Week13_DF16_1778,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1778,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000235,macrophage,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,2.97530937,5.239872483,,,DDF16_WK13_STIMNO
47,Week13_DF16_4167,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_4167,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000097,mast cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,1.796990319,3.792433132,,,DDF16_WK13_STIMNO
48,Week13_DF16_677,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_677,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000097,mast cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,7.485761705,4.0902918,,,DDF16_WK13_STIMNO
49,Week13_DF16_1924,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1924,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000775,neutrophil,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,5.933946522,11.16041989,,,DDF16_WK13_STIMNO
50,Week13_DF16_2126,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_2126,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000775,neutrophil,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,6.048627874,11.3582004,,,DDF16_WK13_STIMNO
51,Week13_DF16_3055,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_3055,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000775,neutrophil,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,5.664772321,11.13202092,,,DDF16_WK13_STIMNO
